timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,104.9,51.93069306930692,158.18733479894263,102.86,50.92079207920792,155.05556204265238
2,238.68,66.22772277227723,201.58244914564793,237.72,66.76237623762376,203.49626362423092
3,387.54,73.69306930693071,224.96220310945785,385.52,73.16831683168319,223.63682967928756
4,541.42,76.17821782178218,232.86347182203934,539.78,76.36633663366337,233.27912484909822
5,698.76,77.89108910891092,237.9545047160657,697.22,77.94059405940594,238.19102717397593
6,857.58,78.62376237623764,240.10882137093787,856.62,78.91089108910892,241.1833949259234
7,1017.46,79.14851485148515,241.3905746369527,1016.66,79.22772277227723,241.2886976627646
8,1179.38,80.15841584158416,244.68480908863242,1176.96,79.35643564356435,242.19618296515628
9,1340.68,79.85148514851485,243.43384016901405,1337.0,79.22772277227726,241.63958875467648
10,1502.16,79.94059405940595,244.0711361569655,1498.78,80.08910891089107,244.44560303361948
11,1664.56,80.39603960396042,245.05463222146682,1660.66,80.13861386138613,243.96744440372004
12,1826.64,80.23762376237624,245.1655370620581,1821.74,79.74257425742572,243.54558874636248
13,1988.78,80.26732673267327,244.9549403601577,1983.04,79.85148514851485,243.78766307554113
14,2149.72,79.67326732673267,243.1017855813021,2145.46,80.40594059405937,245.23061574611023
15,2309.82,79.25742574257427,241.4783406782159,2306.4,79.67326732673268,242.72962149244518
16,2469.46,79.02970297029702,241.29404575161252,2468.72,80.35643564356435,244.89916509400442
17,2630.68,79.81188118811882,243.44264934822505,2630.94,80.30693069306932,244.7595610068468
18,2793.84,80.77227722772274,246.25278945303498,2792.92,80.18811881188118,244.89989510275882
19,2954.72,79.64356435643563,242.99357491319097,2952.7,79.0990099009901,241.00984867554158
20,3115.58,79.63366336633666,242.80824432933153,3113.12,79.41584158415839,241.92751178886596
21,3274.94,78.89108910891088,240.94490090004075,3273.06,79.1782178217822,241.3831500834232
22,3434.92,79.1980198019802,241.60441810982726,3435.06,80.19801980198021,244.5093535331881
23,3595.38,79.43564356435641,242.4828833168931,3595.9,79.62376237623761,242.4914002619145
24,3754.92,78.98019801980199,241.26877505406094,3757.14,79.8217821782178,243.39615848549448
25,3913.32,78.41584158415843,239.25989552910158,3917.22,79.24752475247526,241.3628015004779
26,4072.8,78.95049504950495,240.57536379172132,4078.06,79.62376237623764,243.29910310903878
27,4231.56,78.59405940594058,239.81735869036146,4239.8,80.06930693069306,244.0121666926656
28,4391.08,78.97029702970296,240.98154291005022,4401.32,79.96039603960395,243.88782758816467
29,4551.34,79.33663366336636,241.73622085034745,4561.46,79.27722772277228,241.84524085908717
30,4711.56,79.31683168316832,242.05828808099423,4721.64,79.2970297029703,241.86448449502663
