timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,114.72,56.79207920792078,172.40450106155822,105.42,52.188118811881196,158.42010564383142,116.96,57.900990099009896,175.49671111281364
2,264.36,74.07920792079209,224.05180411788467,244.96,69.0792079207921,208.764329885135,266.78,74.16831683168317,224.40083988536236
3,427.78,80.90099009900989,244.76837447677264,396.66,75.0990099009901,226.5866115139704,431.12,81.35643564356438,245.86022675821295
4,597.02,83.78217821782175,253.50534393152745,552.78,77.28712871287128,233.29338394765276,600.02,83.61386138613861,252.45323823234463
5,768.12,84.70297029702971,255.88013800667835,712.3,78.97029702970298,238.59016307041372,771.62,84.95049504950495,256.2781099552856
6,940.68,85.42574257425741,258.1435944802551,870.44,78.2871287128713,236.68905486713163,943.42,85.04950495049505,256.8017871301312
7,1113.02,85.31683168316833,258.0068713139841,1030.94,79.45544554455446,240.4021351522268,1115.54,85.20792079207921,257.30705285920413
8,1284.36,84.82178217821786,256.6133576447191,1192.1,79.78217821782177,241.4374973092663,1288.28,85.5148514851485,258.10246946356057
9,1457.5,85.7128712871287,259.2169225233161,1352.8,79.55445544554453,240.8508663211135,1461.26,85.63366336633662,258.70136521724885
10,1630.36,85.57425742574259,258.5535290612541,1514.96,80.2772277227723,242.70195869989234,1633.6,85.31683168316832,257.5236661442191
11,1802.12,85.02970297029702,256.8246675009444,1676.7,80.06930693069307,241.8349118994319,1804.74,84.72277227722772,256.12067628595383
12,1973.26,84.72277227722772,256.2582069989349,1838.86,80.2772277227723,242.09461675766445,1976.46,85.009900990099,256.5640824147574
13,2145.52,85.27722772277228,257.6188159796018,2001.0,80.26732673267327,242.5899486482379,2148.86,85.34653465346533,257.70454055115914
14,2317.14,84.96039603960395,256.9512626212668,2162.32,79.86138613861387,241.15725692173456,2321.24,85.33663366336636,257.8832060645266
15,2489.64,85.3960396039604,258.09669969798523,2324.12,80.0990099009901,242.07045477155566,2493.0,85.02970297029704,256.8397725010573
16,2663.02,85.83168316831683,259.250966270102,2486.18,80.22772277227722,242.15602414188135,2664.04,84.67326732673266,255.7442811754935
17,2837.28,86.2673267326733,260.8303804950638,2646.96,79.59405940594058,240.31989963102777,2834.46,84.36633663366334,254.85490176276323
18,3010.56,85.78217821782177,258.90061657447256,2809.46,80.44554455445542,242.59794951748637,3007.16,85.49504950495049,258.10662110049134
19,3183.1,85.4158415841584,258.11784212528886,2971.94,80.43564356435644,242.83987093263073,3179.82,85.47524752475249,258.1533496615889
20,3355.12,85.15841584158416,257.2437519751288,3134.96,80.70297029702972,243.85244026152927,3351.5,84.99009900990099,256.5099795622453
21,3528.54,85.85148514851484,259.46857630338405,3297.36,80.39603960396039,242.77780630472105,3523.2,85.0,256.245314562585
22,3699.66,84.71287128712873,256.0296390105597,3459.18,80.10891089108914,242.0760244789883,3696.02,85.55445544554455,258.6195210634272
23,3872.46,85.54455445544554,258.1185828866851,3621.0,80.10891089108908,242.0534253092628,3868.76,85.5148514851485,258.24766705747993
24,4045.24,85.53465346534651,258.40412230444394,3781.98,79.6930693069307,240.49061194206973,4040.24,84.89108910891089,256.41129946703785
25,4216.72,84.89108910891088,256.5107131239944,3943.14,79.78217821782178,240.78801651655235,4211.48,84.77227722772278,256.31291512668105
26,4389.82,85.6930693069307,258.9310480049287,4104.86,80.05940594059405,241.737576241025,4383.44,85.12871287128715,257.26396403723135
27,4563.04,85.75247524752474,259.01780078367284,4267.28,80.40594059405942,242.94563082811422,4555.12,84.99009900990097,256.4473424756088
28,4734.68,84.97029702970298,256.5414640261689,4429.2,80.15841584158417,242.01783474600654,4726.34,84.7623762376238,255.85734223589122
29,4907.34,85.47524752475246,258.2682987816982,4591.26,80.22772277227722,242.20717547263624,4897.4,84.68316831683168,255.44001015113435
30,5079.8,85.37623762376238,257.7470580041687,4751.6,79.37623762376238,239.71108181379998,5069.02,84.96039603960396,256.21246198944465
