timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,114.44,56.65346534653465,170.25865719728358,105.84,52.396039603960396,157.3807061345977,111.96,55.42574257425744,166.49543553287526
2,262.82,73.45544554455446,221.34256666568473,243.54,68.16831683168316,205.6573750769434,258.34,72.46534653465343,218.3491452217161
3,424.24,79.91089108910894,240.68520391131537,394.36,74.66336633663369,225.20668150159258,419.6,79.83168316831686,240.92020849078085
4,591.2,82.65346534653462,249.5302340263456,550.0,77.04950495049505,232.4431962408675,587.12,82.93069306930693,249.86885970725803
5,760.98,84.04950495049503,253.60192378350578,708.02,78.22772277227725,236.3880356443318,756.68,83.94059405940595,253.578695683134
6,931.04,84.1881188118812,254.0372750971071,867.36,78.88118811881186,238.41568946605702,927.36,84.49504950495049,254.81039568948162
7,1101.98,84.62376237623762,255.36062626336647,1027.76,79.4059405940594,239.62377510456207,1098.48,84.7128712871287,256.0686369484408
8,1272.94,84.63366336633662,255.14524930552713,1188.68,79.66336633663369,240.27897156916865,1270.14,84.98019801980193,256.53092438601846
9,1444.24,84.8019801980198,256.11604552848513,1350.5,80.10891089108911,242.04744674396557,1441.28,84.7227722772277,255.91305632282297
10,1616.1,85.07920792079209,257.26403252112357,1511.6,79.75247524752473,241.03767814504187,1612.06,84.54455445544552,255.34796139798163
11,1788.04,85.11881188118811,256.86941795669946,1672.74,79.7722772277228,241.129671244244,1783.88,85.05940594059406,257.033351183056
12,1958.72,84.49504950495049,255.59315622788125,1833.9,79.78217821782181,241.39252636412687,1954.64,84.53465346534652,255.34231668496332
13,2130.18,84.88118811881186,256.2146674768313,1995.22,79.8613861386139,241.3030567270176,2125.1,84.3861386138614,254.88338151607763
14,2300.0,84.06930693069306,254.26387841751293,2156.74,79.96039603960399,241.61441880458918,2293.82,83.52475247524751,251.9320559152693
15,2470.2,84.25742574257426,254.40164302419322,2317.96,79.8118811881188,241.32698181764732,2464.74,84.61386138613858,255.35304923730018
16,2640.8,84.45544554455444,255.048748207022,2479.52,79.980198019802,242.048919297038,2633.82,83.7029702970297,253.00359739008982
17,2812.0,84.75247524752474,255.65950580254727,2640.12,79.5049504950495,240.51619642676388,2803.84,84.16831683168313,254.43352897267917
18,2983.16,84.73267326732672,255.91818277678115,2800.82,79.55445544554455,240.55857843873892,2975.12,84.79207920792079,256.6107414127475
19,3154.62,84.88118811881189,256.1878921018656,2962.98,80.27722772277228,242.5683113617854,3145.24,84.21782178217822,254.39641858462994
20,3326.48,85.07920792079209,256.70425935794555,3124.66,80.03960396039605,241.60054819316554,3316.26,84.66336633663366,255.76466723711175
21,3498.3,85.05940594059402,256.93447308728696,3286.2,79.97029702970296,241.36999995613482,3486.62,84.33663366336636,254.45920637826669
22,3669.92,84.96039603960396,256.310259786615,3448.38,80.2871287128713,242.4166487257018,3658.3,84.99009900990099,256.68774981337634
23,3842.7,85.53465346534652,258.2988564535312,3609.38,79.70297029702971,240.8215298990196,3830.94,85.46534653465345,258.1890089281728
24,4013.74,84.67326732673266,255.82713538943824,3771.34,80.17821782178216,242.32917392616937,4001.72,84.54455445544552,255.16680855312768
25,4184.12,84.34653465346533,254.38774110283103,3932.58,79.82178217821783,241.26074316853112,4169.54,83.07920792079207,250.6644593913437
26,4354.44,84.31683168316835,254.72316425743213,4094.9,80.35643564356437,242.9320898434796,4340.16,84.46534653465349,255.12795323872484
27,4525.94,84.9009900990099,256.15679433259,4258.34,80.9108910891089,244.63178480808298,4511.84,84.99009900990099,256.82431738268133
28,4697.1,84.73267326732672,256.09987450571896,4420.4,80.22772277227723,242.6320235538331,4683.88,85.16831683168316,257.2654027815343
29,4868.78,84.990099009901,256.5254097942375,4583.16,80.57425742574257,243.4496562675723,4855.48,84.95049504950495,256.2314585047139
30,5040.4,84.96039603960395,256.6629044282518,4744.56,79.90099009900992,241.19703612557322,5027.68,85.24752475247526,257.732439096439
